F1,F2,F3,F4,F5,F6,F7,F8,F9
55,0,81,0,-6,11,25,88,64
56,0,96,0,52,-4,40,44,4
50,-1,89,-7,50,0,39,40,2
53,9,79,0,42,-2,25,37,12
55,2,82,0,54,-6,26,28,2
41,0,84,3,38,-4,43,45,2
37,0,100,0,36,-8,63,64,2
46,0,83,0,46,0,37,36,0
44,0,79,0,42,-17,35,37,2
44,-1,78,0,44,0,34,34,0
55,0,81,0,54,-10,25,26,2
56,0,95,0,52,-3,40,44,4
37,0,100,0,34,6,64,67,4
43,-3,86,2,44,14,43,42,0
46,-5,84,0,46,0,38,37,0
45,0,81,0,44,0,36,37,0
48,0,86,0,50,30,38,37,0
56,0,78,0,42,-2,22,37,14
56,0,77,0,18,-18,22,59,38
45,5,90,0,44,0,44,46,2
